gia_ban,loai_hinh,dien_tich_dat,giay_to_phap_ly,so_phong_ngu,so_phong_ve_sinh,tong_so_tang,tinh_trang_noi_that,dac_diem,chieu_ngang,duong_lon,vi_tri_dat,garage,san_vuon,hai_mat_tien,view,vi_tri_trung_tam,truong_hoc,san_bay,benh_vien,sieu_thi,giao_thong,giai_tri,dia_diem_dac_biet,phuong,gia_m2_tham_khao
2340000000.0,"Nhà ngõ, hẻm",12.5,Đã có sổ,2.0,2.0,2.0,Nội thất đầy đủ,Thông thường,4.2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,132.73
3940000000.0,"Nhà ngõ, hẻm",22.8,Đã có sổ,2.0,2.0,4.0,Nội thất đầy đủ,Thông thường,4.3,False,False,False,True,False,True,False,False,False,False,False,False,False,True,Phường Bình Thạnh,110.0
12000000000.0,"Nhà ngõ, hẻm",110.0,Đã có sổ,4.0,3.0,2.0,Không rõ,Hẻm xe hơi,5.6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,176.33
6480000000.0,"Nhà ngõ, hẻm",60.0,Đã có sổ,3.0,2.0,2.0,Không rõ,Thông thường,3.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Gia Định,152.16
5200000000.0,"Nhà ngõ, hẻm",35.0,Đã có sổ,5.0,4.0,4.0,Không rõ,Nhà nở hậu,2.1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Bình Thạnh,148.98
9990000000.0,"Nhà ngõ, hẻm",115.0,Đã có sổ,10.0,6.0,1.0,Hoàn thiện cơ bản,Thông thường,11.5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Phường Thạnh Mỹ Tây,146.5
5000000000.0,"Nhà ngõ, hẻm",40.0,Đã có sổ,2.0,3.0,2.0,Nội thất đầy đủ,Hẻm xe hơi,3.0,False,True,False,False,False,False,False,False,False,False,True,False,False,False,Phường Gia Định,175.0
1900000000.0,"Nhà ngõ, hẻm",16.2,Đã có sổ,2.0,3.0,3.0,Nội thất cao cấp,Hẻm xe hơi,2.7,True,False,False,True,False,False,False,False,False,False,False,False,False,False,Phường Bình Lợi Trung,151.05
7600000000.0,"Nhà ngõ, hẻm",43.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,3.0,False,False,False,True,False,False,True,False,False,False,False,True,False,False,Phường Bình Thạnh,171.74
4950000000.0,"Nhà ngõ, hẻm",25.0,Chưa xác định,2.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.2,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Phường Bình Lợi Trung,132.73
13400000000.0,"Nhà ngõ, hẻm",73.6,Đã có sổ,8.0,6.0,6.0,Nội thất đầy đủ,Hẻm xe hơi,4.6,False,False,False,False,False,False,True,False,False,False,False,False,True,False,Phường Bình Thạnh,140.0
7990000000.0,"Nhà ngõ, hẻm",64.0,Đã có sổ,5.0,3.0,3.0,Không rõ,Thông thường,4.0,True,True,False,False,False,False,True,True,False,False,True,False,False,True,Phường Gia Định,124.29
4750000000.0,"Nhà ngõ, hẻm",54.0,Đã có sổ,3.0,3.0,3.0,Không rõ,Hẻm xe hơi,4.2,False,False,False,False,False,False,False,True,False,False,True,False,False,False,Phường Bình Lợi Trung,140.0
